CaseId,ActivityName,ActivityTime,EmployeeID,Department,Location,JobLevel,EmploymentType,HiringManager,RecruitmentSource,CurrentSalary,PerformanceRating,TenureYears,PerformedBy,SystemUsed,HireDate
HR2023_E102633,Offer Extended,2023-11-14T15:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,Joint,XYZ_HRIS,2023-12-13
HR2023_E102633,Offer Accepted,2023-11-21T15:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Onboarding Started,2023-12-13T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Equipment Assigned,2023-12-15T14:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0,Customer,Customer_System,2023-12-13
HR2023_E102633,Leave Requested,2024-02-01T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.14,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Approved,2024-02-06T12:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.15,Customer,Customer_System,2023-12-13
HR2023_E102633,Leave Requested,2024-02-20T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.19,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Approved,2024-02-20T12:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.19,Customer,Customer_System,2023-12-13
HR2023_E102633,Probation Completed,2024-03-12T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.25,Joint,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Requested,2024-09-23T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.78,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Approved,2024-09-24T09:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.78,Customer,Customer_System,2023-12-13
HR2023_E102633,Training Completed,2024-10-24T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.87,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Performance Review,2024-12-03T13:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,0.97,Customer,Customer_System,2023-12-13
HR2023_E102633,Promotion Approved,2025-03-20T15:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.27,Joint,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Requested,2025-04-17T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.34,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Approved,2025-04-23T15:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.36,Customer,Customer_System,2023-12-13
HR2023_E102633,Training Completed,2025-06-04T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.48,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Requested,2025-06-21T11:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.52,XYZ,XYZ_HRIS,2023-12-13
HR2023_E102633,Leave Approved,2025-06-23T10:00:00.000Z,E102633,Sales,London,2,Full-time,M849105,Referral,204330,4,1.52,Customer,Customer_System,2023-12-13
HR2023_E102836,Job Posted,2023-10-27T10:36:27.613Z,E102836,Operations,Sydney,8,Full-time,M799990,External,118686,,0,XYZ,XYZ_HRIS,
HR2023_E102836,Application Received,2024-03-07T13:00:00.000Z,E102836,Operations,Sydney,8,Full-time,M799990,External,118686,,0,XYZ,XYZ_HRIS,
HR2023_E102836,Application Rejected,2024-03-11T10:00:00.000Z,E102836,Operations,Sydney,8,Full-time,M799990,External,118686,,0,XYZ,XYZ_HRIS,
HR2023_E103080,Job Posted,2023-06-26T10:36:27.613Z,E103080,HR,New York,3,Full-time,M796678,Internal,146034,,0,XYZ,XYZ_HRIS,
HR2023_E103080,Application Received,2023-07-31T10:00:00.000Z,E103080,HR,New York,3,Full-time,M796678,Internal,146034,,0,XYZ,XYZ_HRIS,
HR2023_E103080,Application Rejected,2023-08-02T13:00:00.000Z,E103080,HR,New York,3,Full-time,M796678,Internal,146034,,0,XYZ,XYZ_HRIS,
HR2023_E103200,Job Posted,2023-09-02T10:36:27.613Z,E103200,Marketing,Berlin,5,Contract,M230071,Internal,155302,,0,XYZ,XYZ_HRIS,
HR2023_E103200,Application Received,2023-09-29T11:00:00.000Z,E103200,Marketing,Berlin,5,Contract,M230071,Internal,155302,,0,XYZ,XYZ_HRIS,
HR2023_E103200,Application Rejected,2023-10-03T15:00:00.000Z,E103200,Marketing,Berlin,5,Contract,M230071,Internal,155302,,0,XYZ,XYZ_HRIS,
HR2023_E103223,Job Posted,2023-07-09T10:36:27.613Z,E103223,Operations,London,7,Part-time,M160759,Internal,121586,,0,XYZ,XYZ_HRIS,
HR2023_E103223,Application Received,2023-07-17T15:00:00.000Z,E103223,Operations,London,7,Part-time,M160759,Internal,121586,,0,XYZ,XYZ_HRIS,
HR2023_E103223,Application Rejected,2023-07-20T09:00:00.000Z,E103223,Operations,London,7,Part-time,M160759,Internal,121586,,0,XYZ,XYZ_HRIS,
HR2023_E103239,Job Posted,2023-09-26T10:36:27.613Z,E103239,Marketing,Sydney,5,Full-time,M281894,External,134997,,0,XYZ,XYZ_HRIS,
HR2023_E103239,Application Received,2024-06-28T10:00:00.000Z,E103239,Marketing,Sydney,5,Full-time,M281894,External,134997,,0,XYZ,XYZ_HRIS,
HR2023_E103239,Interview Completed,2024-07-05T17:00:00.000Z,E103239,Marketing,Sydney,5,Full-time,M281894,External,134997,,0,Joint,XYZ_HRIS,
HR2023_E103239,Interview Failed,2024-07-09T09:00:00.000Z,E103239,Marketing,Sydney,5,Full-time,M281894,External,134997,,0,Joint,XYZ_HRIS,
HR2023_E104462,Job Posted,2023-06-22T10:36:27.613Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Application Received,2023-07-21T16:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Interview Completed,2023-08-03T13:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,Joint,XYZ_HRIS,2023-09-12
HR2023_E104462,Offer Extended,2023-08-11T10:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,Joint,XYZ_HRIS,2023-09-12
HR2023_E104462,Offer Accepted,2023-08-18T11:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Onboarding Started,2023-09-12T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Equipment Assigned,2023-09-15T14:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0,Customer,Customer_System,2023-09-12
HR2023_E104462,Probation Completed,2023-12-11T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.25,Joint,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Requested,2023-12-22T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.28,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2023-12-25T14:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.28,Customer,Customer_System,2023-09-12
HR2023_E104462,Leave Requested,2024-01-07T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.32,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2024-01-08T15:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.32,Customer,Customer_System,2023-09-12
HR2023_E104462,Leave Requested,2024-01-26T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.37,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2024-02-02T09:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.39,Customer,Customer_System,2023-09-12
HR2023_E104462,Leave Requested,2024-06-14T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.76,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Training Completed,2024-06-25T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.79,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2024-06-25T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.79,Customer,Customer_System,2023-09-12
HR2023_E104462,Leave Requested,2024-07-02T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.8,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2024-07-03T15:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.8,Customer,Customer_System,2023-09-12
HR2023_E104462,Training Completed,2024-07-20T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,0.85,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Requested,2025-02-13T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,1.42,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2025-02-14T09:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,1.42,Customer,Customer_System,2023-09-12
HR2023_E104462,Leave Requested,2025-04-15T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,1.59,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104462,Leave Approved,2025-04-21T14:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,1.6,Customer,Customer_System,2023-09-12
HR2023_E104462,Training Completed,2025-06-15T17:00:00.000Z,E104462,Operations,Sydney,5,Contract,M328456,External,106625,,1.76,XYZ,XYZ_HRIS,2023-09-12
HR2023_E104750,Job Posted,2023-10-07T10:36:27.613Z,E104750,Sales,Berlin,10,Part-time,M677218,Agency,95644,,0,XYZ,XYZ_HRIS,
HR2023_E104750,Application Received,2023-11-01T12:00:00.000Z,E104750,Sales,Berlin,10,Part-time,M677218,Agency,95644,,0,XYZ,XYZ_HRIS,
HR2023_E104750,Application Rejected,2023-11-06T09:00:00.000Z,E104750,Sales,Berlin,10,Part-time,M677218,Agency,95644,,0,XYZ,XYZ_HRIS,
HR2023_E104895,Job Posted,2023-09-27T10:36:27.613Z,E104895,Engineering,Singapore,2,Contract,M782493,Agency,76432,,0,XYZ,XYZ_HRIS,
HR2023_E104895,Application Received,2024-03-14T09:00:00.000Z,E104895,Engineering,Singapore,2,Contract,M782493,Agency,76432,,0,XYZ,XYZ_HRIS,
HR2023_E104895,Application Rejected,2024-03-18T16:00:00.000Z,E104895,Engineering,Singapore,2,Contract,M782493,Agency,76432,,0,XYZ,XYZ_HRIS,
HR2023_E105123,Job Posted,2023-10-11T10:36:27.613Z,E105123,Operations,Singapore,10,Full-time,M145187,Referral,154750,,0,XYZ,XYZ_HRIS,
HR2023_E105123,Application Received,2023-10-19T12:00:00.000Z,E105123,Operations,Singapore,10,Full-time,M145187,Referral,154750,,0,XYZ,XYZ_HRIS,
HR2023_E105123,Application Rejected,2023-10-24T11:00:00.000Z,E105123,Operations,Singapore,10,Full-time,M145187,Referral,154750,,0,XYZ,XYZ_HRIS,
HR2023_E105302,Job Posted,2023-08-13T10:36:27.613Z,E105302,Sales,New York,8,Contract,M822308,Referral,158652,,0,XYZ,XYZ_HRIS,
HR2023_E105302,Application Received,2023-09-18T11:00:00.000Z,E105302,Sales,New York,8,Contract,M822308,Referral,158652,,0,XYZ,XYZ_HRIS,
HR2023_E105302,Interview Completed,2023-10-30T09:00:00.000Z,E105302,Sales,New York,8,Contract,M822308,Referral,158652,,0,Joint,XYZ_HRIS,
HR2023_E105302,Interview Failed,2023-10-31T09:00:00.000Z,E105302,Sales,New York,8,Contract,M822308,Referral,158652,,0,Joint,XYZ_HRIS,
HR2023_E105357,Job Posted,2023-10-25T10:36:27.613Z,E105357,Operations,Berlin,1,Full-time,M539990,Referral,140076,,0,XYZ,XYZ_HRIS,
HR2023_E105357,Application Received,2023-11-15T11:00:00.000Z,E105357,Operations,Berlin,1,Full-time,M539990,Referral,140076,,0,XYZ,XYZ_HRIS,
HR2023_E105357,Application Rejected,2023-11-17T10:00:00.000Z,E105357,Operations,Berlin,1,Full-time,M539990,Referral,140076,,0,XYZ,XYZ_HRIS,
HR2023_E105708,Job Posted,2023-07-20T10:36:27.613Z,E105708,Finance,Sydney,9,Part-time,M397741,Referral,135050,,0,XYZ,XYZ_HRIS,
HR2023_E105708,Application Received,2023-08-24T13:00:00.000Z,E105708,Finance,Sydney,9,Part-time,M397741,Referral,135050,,0,XYZ,XYZ_HRIS,
HR2023_E105708,Application Rejected,2023-08-25T17:00:00.000Z,E105708,Finance,Sydney,9,Part-time,M397741,Referral,135050,,0,XYZ,XYZ_HRIS,
HR2023_E106377,Job Posted,2023-06-19T10:36:27.613Z,E106377,Operations,Berlin,9,Contract,M705492,Agency,135292,,0,XYZ,XYZ_HRIS,
HR2023_E106377,Application Received,2023-07-04T09:00:00.000Z,E106377,Operations,Berlin,9,Contract,M705492,Agency,135292,,0,XYZ,XYZ_HRIS,
HR2023_E106377,Application Rejected,2023-07-06T10:00:00.000Z,E106377,Operations,Berlin,9,Contract,M705492,Agency,135292,,0,XYZ,XYZ_HRIS,
HR2023_E106887,Job Posted,2023-09-10T10:36:27.613Z,E106887,HR,,4,Part-time,M680557,External,64716,,0,XYZ,XYZ_HRIS,
HR2023_E106887,Application Received,2023-09-22T11:00:00.000Z,E106887,HR,,4,Part-time,M680557,External,64716,,0,XYZ,XYZ_HRIS,
HR2023_E106887,Application Rejected,2023-09-26T10:00:00.000Z,E106887,HR,,4,Part-time,M680557,External,64716,,0,XYZ,XYZ_HRIS,
HR2023_E107241,Job Posted,2023-09-22T10:36:27.613Z,E107241,,Berlin,5,Full-time,M135682,External,156856,,0,XYZ,XYZ_HRIS,
HR2023_E107241,Application Received,2023-10-18T09:00:00.000Z,E107241,,Berlin,5,Full-time,M135682,External,156856,,0,XYZ,XYZ_HRIS,
HR2023_E107241,Application Rejected,2023-10-23T09:00:00.000Z,E107241,,Berlin,5,Full-time,M135682,External,156856,,0,XYZ,XYZ_HRIS,
HR2023_E107676,Job Posted,2023-06-14T10:36:27.613Z,E107676,Sales,Berlin,7,Contract,M970182,Referral,62249,,0,XYZ,XYZ_HRIS,
HR2023_E107676,Application Received,2023-06-22T16:00:00.000Z,E107676,Sales,Berlin,7,Contract,M970182,Referral,62249,,0,XYZ,XYZ_HRIS,
HR2023_E107676,Application Rejected,2023-06-26T11:00:00.000Z,E107676,Sales,Berlin,7,Contract,M970182,Referral,62249,,0,XYZ,XYZ_HRIS,
HR2023_E108130,Job Posted,2023-08-03T10:36:27.613Z,E108130,Sales,Sydney,10,Part-time,M881080,External,102756,,0,XYZ,XYZ_HRIS,
HR2023_E108130,Application Received,2023-09-01T17:00:00.000Z,E108130,Sales,Sydney,10,Part-time,M881080,External,102756,,0,XYZ,XYZ_HRIS,
HR2023_E108130,Application Rejected,2023-09-05T13:00:00.000Z,E108130,Sales,Sydney,10,Part-time,M881080,External,102756,,0,XYZ,XYZ_HRIS,
HR2023_E108608,Job Posted,2023-09-30T10:36:27.613Z,E108608,Finance,London,2,Part-time,M294812,Agency,197306,,0,XYZ,XYZ_HRIS,
HR2023_E108608,Application Received,2023-10-06T13:00:00.000Z,E108608,Finance,London,2,Part-time,M294812,Agency,197306,,0,XYZ,XYZ_HRIS,
HR2023_E108608,Application Rejected,2023-10-10T11:00:00.000Z,E108608,Finance,London,2,Part-time,M294812,Agency,197306,,0,XYZ,XYZ_HRIS,
HR2023_E108806,Job Posted,2023-07-16T10:36:27.613Z,E108806,HR,London,10,Part-time,M517834,Agency,109975,,0,XYZ,XYZ_HRIS,
HR2023_E108806,Application Received,2023-08-11T11:00:00.000Z,E108806,HR,London,10,Part-time,M517834,Agency,109975,,0,XYZ,XYZ_HRIS,
HR2023_E108806,Application Rejected,2023-08-15T17:00:00.000Z,E108806,HR,London,10,Part-time,M517834,Agency,109975,,0,XYZ,XYZ_HRIS,
HR2023_E108830,Job Posted,2023-05-31T10:36:27.613Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Application Received,2023-06-23T13:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Interview Completed,2023-07-25T11:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,Joint,XYZ_HRIS,2023-09-06
HR2023_E108830,Offer Extended,2023-08-02T09:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,Joint,XYZ_HRIS,2023-09-06
HR2023_E108830,Offer Accepted,2023-08-18T13:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Onboarding Started,2023-09-06T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Equipment Assigned,2023-09-08T12:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0,Customer,Customer_System,2023-09-06
HR2023_E108830,Leave Requested,2023-10-17T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.11,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2023-10-17T16:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.11,Customer,Customer_System,2023-09-06
HR2023_E108830,Probation Completed,2023-12-05T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.25,Joint,XYZ_HRIS,2023-09-06
HR2023_E108830,Training Completed,2023-12-29T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.31,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Requested,2024-03-16T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.53,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2024-03-18T10:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.53,Customer,Customer_System,2023-09-06
HR2023_E108830,Leave Requested,2024-06-01T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.74,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2024-06-03T15:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.74,Customer,Customer_System,2023-09-06
HR2023_E108830,Training Completed,2024-07-16T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.86,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Performance Review,2024-09-02T15:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,0.99,Customer,Customer_System,2023-09-06
HR2023_E108830,Leave Requested,2024-09-23T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.05,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2024-09-23T15:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.05,Customer,Customer_System,2023-09-06
HR2023_E108830,Training Completed,2024-11-05T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.17,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Training Completed,2025-02-28T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.48,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Requested,2025-04-10T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.59,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2025-04-11T10:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.59,Customer,Customer_System,2023-09-06
HR2023_E108830,Leave Requested,2025-05-10T14:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.68,XYZ,XYZ_HRIS,2023-09-06
HR2023_E108830,Leave Approved,2025-05-12T16:00:00.000Z,E108830,Engineering,Sydney,10,Contract,M534287,Internal,181152,2,1.68,Customer,Customer_System,2023-09-06
HR2023_E109490,Job Posted,2023-06-16T10:36:27.613Z,E109490,Engineering,Sydney,4,Part-time,M917699,Referral,165410,,0,XYZ,XYZ_HRIS,
HR2023_E109490,Application Received,2023-07-24T12:00:00.000Z,E109490,Engineering,Sydney,4,Part-time,M917699,Referral,165410,,0,XYZ,XYZ_HRIS,
HR2023_E109490,Application Rejected,2023-07-25T15:00:00.000Z,E109490,Engineering,Sydney,4,Part-time,M917699,Referral,165410,,0,XYZ,XYZ_HRIS,
HR2023_E109968,Job Posted,2023-09-16T10:36:27.613Z,E109968,Sales,Singapore,1,Contract,M321321,Internal,138478,,0,XYZ,XYZ_HRIS,
HR2023_E109968,Application Received,2023-10-06T16:00:00.000Z,E109968,Sales,Singapore,1,Contract,M321321,Internal,138478,,0,XYZ,XYZ_HRIS,
HR2023_E109968,Application Rejected,2023-10-11T10:00:00.000Z,E109968,Sales,Singapore,1,Contract,M321321,Internal,138478,,0,XYZ,XYZ_HRIS,
HR2023_E110044,Job Posted,2023-05-31T10:36:27.613Z,E110044,Sales,Sydney,5,Contract,M833747,Internal,70220,,0,XYZ,XYZ_HRIS,
HR2023_E110044,Application Received,2023-06-23T11:00:00.000Z,E110044,Sales,Sydney,5,Contract,M833747,Internal,70220,,0,XYZ,XYZ_HRIS,
HR2023_E110044,Application Rejected,2023-06-27T10:00:00.000Z,E110044,Sales,Sydney,5,Contract,M833747,Internal,70220,,0,XYZ,XYZ_HRIS,
HR2023_E110139,Job Posted,2023-07-29T10:36:27.613Z,E110139,Sales,Singapore,2,Part-time,M870173,Internal,131188,,0,XYZ,XYZ_HRIS,
HR2023_E110139,Application Received,2023-08-23T11:00:00.000Z,E110139,Sales,Singapore,2,Part-time,M870173,Internal,131188,,0,XYZ,XYZ_HRIS,
HR2023_E110139,Interview Completed,2023-10-04T16:00:00.000Z,E110139,Sales,Singapore,2,Part-time,M870173,Internal,131188,,0,Joint,XYZ_HRIS,
HR2023_E110139,Interview Failed,2023-10-09T13:00:00.000Z,E110139,Sales,Singapore,2,Part-time,M870173,Internal,131188,,0,Joint,XYZ_HRIS,
HR2023_E110394,Job Posted,2023-10-22T10:36:27.613Z,E110394,HR,London,2,Full-time,M246319,Agency,50245,,0,XYZ,XYZ_HRIS,
HR2023_E110394,Application Received,2024-06-13T14:00:00.000Z,E110394,HR,London,2,Full-time,M246319,Agency,50245,,0,XYZ,XYZ_HRIS,
HR2023_E110394,Application Rejected,2024-06-17T12:00:00.000Z,E110394,HR,London,2,Full-time,M246319,Agency,50245,,0,XYZ,XYZ_HRIS,
